Number,Address,List Date,Price,Days on market,Total floor area,Year Built,Age,Lot Size
576,DEERING ISLAND PLACE,6/1/2019,2800000,138,3422,1992,27,8783.0
577,NANAIMO STREET,1/25/2020,1075000,6,1800,1956,64,3847.8
578,E 34TH AVENUE,2/25/2020,1360000,7,2200,1912,108,3795.0
579,FRENCH STREET,4/3/2019,2230000,119,3669,1990,29,5850.0
580,COLLINGWOOD STREET,9/3/2019,2353000,85,2475,1938,81,4191.0
581,OXFORD STREET,8/19/2019,1333780,6,1882,1923,96,4026.0
582,E 20TH AVENUE,9/17/2019,1330000,6,2444,1968,51,3638.02
583,TURNER STREET,7/16/2018,1270000,435,2220,1922,97,3547.5
584,E 11TH AVENUE,10/15/2019,1663000,9,2932,1914,105,4026.0
585,E 60TH AVENUE,7/7/2019,1040000,42,2246,1938,81,4026.0
586,E 63RD AVENUE,7/12/2019,1448000,41,2770,1976,43,6226.0
587,SEMLIN DRIVE,10/23/2019,1490000,3,1967,1910,109,2013.0
588,POINT GREY ROAD,11/12/2019,2500000,3,2060,1937,83,2864.4
589,E 26TH AVENUE,8/6/2019,1976190,90,3199,2019,0,3563.35
590,PARKER STREET,9/16/2019,1248500,29,1821,1944,75,3564.0
591,RUPERT STREET,12/2/2019,1475000,7,2780,1977,43,4480.0
592,E 11TH AVENUE,7/9/2019,1290000,3,2067,1941,78,4026.0
593,W 5TH AVENUE,1/9/2020,1750000,28,2650,1911,109,3740.0
594,TRIMBLE STREET,6/11/2019,1600000,65,1592,1949,70,4026.0
595,W 29TH AVENUE,11/20/2019,2850000,3,2438,1942,77,6162.0
596,E 57TH AVENUE,5/25/2020,1350000,2,1588,1949,71,3409.89
597,W 22ND AVENUE,1/29/2020,2910000,31,2907,2000,20,4026.0
598,ETON STREET,3/19/2020,1300000,40,2322,1928,92,4026.0
599,W 29TH AVENUE,10/21/2019,2075000,21,1850,1924,95,4298.25
600,E 5TH AVENUE,8/6/2019,1475000,9,1585,1945,74,4026.0
601,E 5TH AVENUE,10/8/2019,1335000,9,2301,1956,63,4022.0
602,W 12TH AVENUE,6/20/2019,1880000,55,2547,1928,91,4028.64
603,W 26TH AVENUE,6/27/2019,2600000,93,2648,1925,94,6440.0
604,HOY STREET,6/22/2019,1030000,146,1800,1957,62,3785.0
605,BIRCH STREET,6/10/2019,2988000,80,3399,2016,3,4043.0
606,W 43RD AVENUE,10/23/2019,2800000,155,2850,1926,94,5904.0
607,NANAIMO STREET,9/24/2019,999000,6,1400,1940,79,3168.0
608,W 33RD AVENUE,5/28/2019,2568000,18,3001,2011,8,4290.0
609,W 32ND AVENUE,6/20/2019,2480000,47,2362,1932,87,4298.25
610,LANCASTER STREET,2/18/2020,1588000,15,2630,1969,51,4720.0
611,E 46TH AVENUE,10/23/2019,1675000,16,2474,1979,40,4026.0
612,E 52ND AVENUE,10/2/2019,2200000,53,3300,2018,1,3965.0
613,E 8TH AVENUE,7/17/2019,1425000,2,2302,1981,38,4026.0
614,E 32ND AVENUE,6/5/2019,1680000,7,1816,1948,71,3795.0
615,TUPPER STREET,8/6/2019,2230000,31,2842,1970,49,3664.65
616,TRINITY STREET,12/5/2019,1310000,66,1210,1936,84,6100.0
617,MOSS STREET,12/18/2019,925000,74,1930,1905,115,3022.8
618,JOYCE STREET,2/7/2020,1375000,1,2700,1964,56,3696.0
619,E 54TH AVENUE,8/12/2019,1560000,88,2246,2011,8,3119.0
620,E 7TH AVENUE,2/10/2020,1494000,8,2266,1958,62,4026.0
621,PENTICTON STREET,10/16/2019,1666000,7,3563,1992,27,5445.0
622,WALDEN STREET,8/28/2019,1500000,4,1565,1910,109,3696.0
623,KITCHENER STREET,6/16/2019,1370000,67,2475,1974,45,4191.0
624,W 21ST AVENUE,7/22/2019,2700000,4,3030,1939,80,5313.0
625,E 15TH AVENUE,9/3/2019,1880000,12,2950,1910,109,3230.0
626,W 32ND AVENUE,7/15/2019,2520888,19,2576,1996,23,4290.0
627,KNIGHT STREET,3/9/2020,925000,2,900,1957,63,3779.16
628,E 62ND AVENUE,8/15/2019,1050000,14,1920,1968,51,3267.0
629,QUEENS AVENUE,1/9/2020,1610000,37,2950,1984,36,4570.0
630,E 25TH AVENUE,10/28/2019,1220000,7,2004,1933,86,3960.0
631,E 48TH AVENUE,12/6/2019,1550000,69,2415,1995,25,4032.6
632,TURNER STREET,10/7/2019,1380000,2,2993,1943,76,5445.0
633,GRANT STREET,4/1/2020,1845000,7,3144,2004,16,4191.0
634,W 21ST AVENUE,4/16/2019,2100000,73,1475,1931,88,4026.0
635,E 4TH AVENUE,1/6/2020,2290000,7,4475,2016,4,5079.9
636,JOYCE STREET,3/21/2019,1300000,146,1648,1953,66,3069.0
637,BLANCA STREET,4/29/2019,2400000,196,3000,1970,49,6718.25
638,W 23RD AVENUE,3/11/2020,2508000,12,2448,1938,82,5346.0
639,TRIUMPH STREET,11/18/2019,1555000,7,2021,1929,90,4026.0
640,E PENDER STREET,4/20/2020,1928000,8,2502,1906,114,3267.0
641,PERRY STREET,2/3/2020,1289000,21,1572,1927,93,4014.67
642,VENABLES STREET,10/24/2019,1130000,4,1275,1930,89,3630.0
643,W 41ST AVENUE,9/25/2019,1803800,6,1961,1922,97,4353.03
644,NANAIMO STREET,4/14/2020,1410000,4,2441,1931,89,4618.35
645,W 11TH AVENUE,10/22/2019,2300000,107,974,1988,32,4026.0
646,LABURNUM STREET,6/19/2019,2160000,77,2495,1987,32,4141.5
647,ELGIN STREET,2/11/2020,1400000,4,1585,1948,72,3481.5
648,W 33RD AVENUE,7/2/2019,1870000,42,1814,1940,79,4298.0
649,PARKER STREET,6/15/2019,2100000,9,2513,1926,93,4636.0
650,W 12TH AVENUE,3/2/2020,2117000,7,1608,1928,92,4026.0
651,BRUCE STREET,10/6/2019,1225000,8,1855,2000,19,2992.22
652,WINDSOR STREET,1/18/2019,1165000,129,2120,1989,30,3481.5
653,OXFORD STREET,6/7/2019,2215000,22,2754,2013,6,4554.0
654,E 39TH AVENUE,2/4/2019,1160000,187,1297,1950,69,4026.0
655,E 48TH AVENUE,12/30/2019,1480000,7,2200,1962,58,4290.0
656,W 15TH AVENUE,5/15/2019,2325000,33,5600,1910,109,6250.0
657,KNIGHT STREET,10/17/2019,910000,21,1611,1948,71,3799.62
658,OAK STREET,5/28/2019,1840000,31,2508,1976,43,4252.71
659,E 58TH AVENUE,1/21/2020,2200000,7,3522,2017,3,3973.0
660,E 21ST AVENUE,9/25/2019,1510000,32,1886,1926,93,4026.0
661,E 4TH AVENUE,8/26/2019,1454800,172,3016,1993,27,4082.0
662,E 59TH AVENUE,11/3/2019,1497000,110,2492,1965,55,4923.6
663,W 18TH AVENUE,9/17/2019,2393000,6,2345,1933,86,4026.0
664,E 2ND AVENUE,7/12/2019,1838000,59,3178,2008,11,5000.0
665,MANITOBA STREET,2/10/2020,2720000,23,3828,1986,34,6315.33
666,E 27TH AVENUE,7/9/2019,2047619,80,3458,2019,0,3910.5
667,E 38TH AVENUE,8/12/2019,2371429,73,3377,2019,0,4000.0
668,STEPHENS STREET,2/12/2020,1965000,11,2432,1912,108,2871.0
669,E 22ND AVENUE,12/11/2019,2210000,2,2524,2016,3,3362.0
670,E BROADWAY,3/26/2019,1500000,70,2479,1966,53,4950.0
671,E GEORGIA STREET,11/4/2019,1507000,8,2303,1998,21,3473.25
672,E 25TH AVENUE,3/13/2020,1288888,10,1980,1954,66,5175.0
673,W 21ST AVENUE,10/21/2019,2820000,12,2563,2006,13,4270.0
674,RUPERT STREET,3/8/2020,1700000,6,2080,1957,63,7020.0
675,E 17TH AVENUE,10/31/2019,2099000,8,3160,1977,42,6018.0
676,ABERDEEN STREET,8/22/2019,1520000,29,2098,1945,74,6000.0
677,E 62ND AVENUE,11/25/2019,1525000,7,2782,1975,44,4620.0
678,E 5TH AVENUE,11/2/2019,1490000,12,1411,1926,93,4026.0
679,INVERNESS STREET,3/18/2019,1650000,98,2417,1994,25,4017.0
680,W 23RD AVENUE,7/22/2019,2500000,85,2416,1996,23,4026.0
681,E 40TH AVENUE,5/14/2020,1428000,5,2510,1967,53,4260.0
682,WINDSOR STREET,8/1/2019,1488000,26,2094,2001,18,3300.0
683,1750-1752 E 5TH AVENUE,11/4/2019,2240000,4,2986,1910,109,2398.0
684,MCGILL STREET,8/12/2019,1055000,30,1890,1948,71,4026.0
685,KINGS AVENUE,7/25/2019,700000,138,2838,1910,110,4425.0
686,W 24TH AVENUE,10/28/2019,1900000,1,915,1940,79,4031.0
687,NOOTKA STREET,10/24/2019,1525000,25,2366,1948,71,6300.0
688,E 57TH AVENUE,5/21/2020,1493000,0,2136,1964,56,4986.0
689,BROOKS STREET,8/6/2019,2700000,15,3844,2013,6,5412.0
690,W 19TH AVENUE,3/16/2020,2300000,8,2683,1973,47,4026.0
691,CAROLINA STREET,7/9/2019,1478000,5,1528,1970,49,2244.8
692,E 7TH AVENUE,7/12/2019,1590000,46,2417,2006,13,4026.0
693,KNIGHT STREET,3/28/2019,1250000,161,2664,1967,52,6332.7
694,W 7TH AVENUE,9/8/2019,1940000,14,2284,1929,90,3628.35
695,E 37TH AVENUE,9/6/2019,1168000,9,1571,1955,64,3679.5
696,ALMA STREET,7/19/2019,2000000,118,2430,1924,95,3639.0
697,INVERNESS STREET,1/17/2020,1250000,6,1858,1952,68,3830.4
698,E 36TH AVENUE,8/7/2019,2000000,12,2400,1945,74,7284.22
699,UNION STREET,8/19/2019,1625000,7,1822,1905,114,3050.0
700,E 8TH AVENUE,6/19/2019,2080000,28,3356,2017,2,4026.0
701,WINDSOR STREET,9/4/2019,1070000,8,2534,1910,109,2178.0
702,ROSS STREET,9/30/2019,1328888,19,2339,1979,40,4051.08
703,E 51ST AVENUE,9/20/2019,2045000,39,3519,2015,4,4026.0
704,E 54TH AVENUE,5/30/2019,975000,36,690,1954,65,4467.0
705,BORDEN STREET,5/28/2019,1650000,7,2889,1956,63,5273.0
706,W 15TH AVENUE,4/1/2019,2090000,78,2024,1978,41,3785.39
707,W 5TH AVENUE,12/4/2019,2480000,0,3113,1912,108,3631.43
708,W 15TH AVENUE,3/2/2020,2280000,7,2166,1930,90,4010.0
709,ADANAC STREET,3/18/2020,1455800,7,2081,2005,15,3574.0
710,GLADSTONE STREET,9/30/2019,1494800,6,2318,1990,29,3960.0
711,WINDSOR STREET,3/17/2020,1333000,6,2035,1950,70,3531.0
712,ONTARIO STREET,1/20/2020,2138000,0,2367,1992,28,3960.0
713,E 45TH AVENUE,5/24/2019,1795000,17,2892,1941,78,7262.0
714,E 41ST AVENUE,9/30/2019,1140000,31,1996,1929,90,3657.39
715,HUDSON STREET,4/27/2019,2000000,182,2399,1993,26,3983.1
716,ROSEMONT DRIVE,4/5/2019,1650000,134,2581,1964,55,5107.16
717,FRENCH STREET,7/12/2019,1620000,0,2394,1969,50,4026.0
718,ROSS STREET,4/15/2020,1950000,6,3151,1978,42,6039.0
719,E 8TH AVENUE,4/15/2019,2047619,119,3620,2019,0,4026.0
720,PRINCE EDWARD STREET,9/3/2019,2699000,3,3223,2018,1,3696.0
721,W 10TH AVENUE,6/1/2019,2650000,101,2452,2018,1,4026.0
722,E 43RD AVENUE,5/12/2019,1392000,84,2382,1979,40,4146.12
723,E 62ND AVENUE,2/17/2020,1228000,3,719,1953,67,3795.0
724,GRAVELEY STREET,9/16/2019,1275000,13,1699,1923,96,2880.0
725,MAIN STREET,8/15/2019,1060000,4,1814,1950,69,3465.0
726,VICTORIA DRIVE,1/15/2020,1455000,4,1827,1901,119,3579.0
727,TURNER STREET,4/2/2020,1238000,48,2250,1935,85,5115.0
728,W 2ND AVENUE,1/27/2020,2400000,14,1800,1927,93,3960.0
729,PRINCE ALBERT STREET,10/27/2019,2695000,1,2749,2019,0,3840.0
730,W 12TH AVENUE,11/4/2019,1968000,20,1393,1967,52,4026.0
731,E 62ND AVENUE,7/3/2019,1650000,0,3262,1973,46,7000.0
732,W 38TH AVENUE,2/25/2020,2225000,6,3041,1988,32,4237.86
733,ROSEMONT DRIVE,7/8/2019,1325000,61,2459,1964,55,4869.0
734,MCGILL STREET,2/21/2020,1235000,9,2157,1959,61,4026.0
735,BROOKS STREET,1/2/2020,1890000,19,3095,1992,28,5174.0
736,HUDSON STREET,2/18/2020,1992000,5,2100,1990,30,3752.0
737,RUPERT STREET,8/16/2019,1170000,15,1857,1956,63,4026.0
738,E 61ST AVENUE,7/22/2019,1397500,96,2042,2010,9,3192.0
739,W 22ND AVENUE,6/24/2019,2415000,80,1402,1926,93,5124.0
740,E 39TH AVENUE,9/12/2019,2989000,40,2935,2018,1,4224.0
741,W 14TH AVENUE,6/18/2019,2950000,62,3339,1912,107,6250.0
742,E 35TH AVENUE,2/14/2020,1352000,21,2155,1989,31,3844.0
743,E 4TH AVENUE,5/1/2019,1500000,65,3025,1993,26,5069.24
744,N KOOTENAY STREET,12/27/2019,1850000,37,2657,2015,5,3696.0
745,GLADSTONE STREET,9/25/2019,1674000,4,2438,1960,59,3956.0
746,FRANKLIN STREET,1/21/2020,1260000,13,1950,1980,40,3267.0
747,E 5TH AVENUE,9/16/2019,1480000,141,2417,1992,28,4026.0
748,W 42ND AVENUE,5/13/2020,2788000,5,2747,1994,26,4590.0
749,E 21ST AVENUE,7/4/2019,1850000,12,1831,1951,68,5063.0
750,E 19TH AVENUE,9/30/2019,1635000,8,2287,1926,93,3444.0
751,VICTORIA DRIVE,2/24/2020,1940000,17,2609,1909,111,3267.0
752,W 29TH AVENUE,6/3/2019,2420000,10,2840,1925,94,5387.25
753,W 16TH AVENUE,7/8/2019,1800000,34,1695,1953,66,4026.0
754,E 26TH AVENUE,8/19/2019,1330000,0,1963,1914,105,3696.0
755,ARCHIMEDES STREET,2/12/2020,1035000,8,2060,1947,73,3234.0
756,KILLARNEY STREET,9/9/2019,1320000,6,1990,1977,42,3297.0
757,W 13TH AVENUE,6/7/2019,2960000,0,2796,1926,93,6710.0
758,MILLER STREET,9/30/2019,785000,6,1201,1989,30,1764.0
759,E 16TH AVENUE,1/10/2019,1500000,274,2157,1926,93,4052.97
760,E GEORGIA STREET,10/21/2019,1100000,101,1920,1927,93,3531.0
761,WINDSOR STREET,3/9/2020,1528000,9,2263,1954,66,3747.83
762,TRAFALGAR STREET,2/18/2020,2180000,14,2782,1937,83,3878.0
763,E PENDER STREET,7/10/2019,1509000,2,1922,2005,14,3267.0
764,RADISSON STREET,9/3/2019,950000,41,1850,1980,39,3534.0
765,W 15TH AVENUE,3/3/2020,2250000,18,2528,1947,73,4026.0
766,E 27TH AVENUE,4/11/2019,1625000,112,2548,1955,64,6105.7
767,E 59TH AVENUE,10/9/2019,1260500,50,2386,1959,60,3854.4
768,ELGIN STREET,2/10/2020,1325000,23,1900,1910,110,3811.5
769,GARDEN DRIVE,10/31/2019,1475000,176,1720,1946,74,4360.0
770,E 51ST AVENUE,10/22/2019,1625000,11,2348,2003,16,4365.0
771,CAROLINA STREET,5/11/2020,1044000,16,2120,1911,109,2792.7
772,TURNER STREET,5/27/2019,2105000,97,3748,2019,0,4356.0
773,FRANKLIN STREET,1/28/2020,1471000,6,2620,1982,38,4026.0
774,GRANT STREET,3/19/2020,1420000,45,2474,1985,35,4191.0
775,E 11TH AVENUE,5/28/2019,1651000,55,3777,1912,107,4026.0
776,SHERBROOKE STREET,3/24/2020,1400000,7,2309,1946,74,4054.0
777,E 28TH AVENUE,2/20/2020,1650171,4,2717,1910,110,3394.0
778,SPENCER STREET,6/14/2019,1120000,115,1635,1947,73,4125.0
779,MONTCALM STREET,1/6/2020,3000000,34,3365,2012,8,4014.45
780,E 28TH AVENUE,11/19/2019,1598000,41,1457,1945,75,6039.0
781,SHAUGHNESSY STREET,11/1/2019,1590000,34,1823,1946,73,4088.18
782,E 58TH AVENUE,6/14/2019,1854000,94,2422,2002,17,4939.0
783,W 21ST AVENUE,10/8/2019,2345000,5,2511,1930,89,4026.0
784,E 56TH AVENUE,11/12/2019,1695000,51,2230,2003,17,4429.6
785,WILLIAM STREET,12/17/2019,985000,8,680,1947,73,3547.5
786,GRANT STREET,11/12/2019,2142857,53,3623,2019,1,4191.0
787,QUEBEC STREET,9/9/2019,1630000,7,1860,1913,106,1772.8
788,E 8TH AVENUE,8/26/2019,995000,2,1579,1948,71,4024.78
789,E 35TH AVENUE,3/2/2020,1300000,7,1718,1947,73,3657.0
790,W 50TH AVENUE,2/18/2020,2480000,8,2628,1957,63,9141.0
791,OLYMPIC STREET,2/18/2020,2950000,69,3643,1930,90,5746.0
792,CHESTER STREET,8/21/2019,1620000,48,1991,1950,69,6044.64
793,FRANKLIN STREET,11/18/2019,1200000,65,1597,1928,92,4026.0
794,W 64TH AVENUE,3/5/2020,1948000,10,2114,1994,26,3696.0
795,MCGILL STREET,3/17/2020,960000,50,800,1948,72,4026.0
796,CULLODEN STREET,4/17/2019,1563000,56,2251,2003,16,4092.0
797,E 17TH AVENUE,3/11/2020,2720000,5,3223,2006,14,5977.0
798,PRINCE ALBERT STREET,4/20/2020,1319000,7,1533,1910,110,3399.0
799,W 41ST AVENUE,7/25/2019,2130000,6,3842,1982,37,5643.61
800,E 4TH AVENUE,3/3/2020,1555000,6,2336,1949,71,4026.0
801,E 58TH AVENUE,11/12/2019,1250000,8,1619,1960,59,3692.7
802,W 16TH AVENUE,7/16/2019,2265000,13,2730,1973,46,6250.0
803,CASSIAR STREET,2/17/2020,1041000,3,2590,1914,106,4026.0
804,KILLARNEY STREET,4/8/2019,1176000,136,1581,1953,66,4071.87
805,E 23RD AVENUE,11/27/2019,1280000,7,2359,1945,74,3960.0
806,W 31ST AVENUE,7/22/2019,2350000,136,2000,1937,82,5340.35
807,EAST 7TH AVENUE,3/10/2020,1290000,6,2005,1958,62,4026.0
808,W 33RD AVENUE,7/25/2019,2050000,20,2197,1928,91,7012.5
809,E 54TH AVENUE,7/12/2019,1542180,9,2460,1986,33,4026.0
810,BRUCE STREET,6/3/2019,2180000,7,3537,2019,0,4059.0
811,E 62ND AVENUE,2/3/2020,1391000,8,2054,1954,66,5074.0
812,W 22ND AVENUE,9/6/2019,2910000,78,2485,1930,89,6041.48
813,E 60TH AVENUE,10/23/2019,1638000,31,2013,2011,8,3551.22
814,W 20TH AVENUE,7/29/2019,2950000,32,4581,1985,34,6100.0
815,E 44TH AVENUE,6/17/2019,1437500,36,2615,1971,48,3816.0
816,W 62 AVENUE,6/2/2019,2750000,175,3931,1987,32,5373.0
817,ST. CATHERINES STREET,5/25/2020,2356000,8,2400,1941,79,4200.0
818,FRANKLIN STREET,2/22/2019,1750000,117,3453,2018,1,4026.0
819,CAMBRIDGE STREET,9/30/2019,1280000,7,1933,1943,76,4024.68
820,NASSAU DRIVE,10/7/2019,1237100,122,1917,1950,70,4274.0
821,W 17TH AVENUE,6/28/2019,2880000,110,2317,2016,3,3300.0
822,W 15TH AVENUE,4/8/2019,2345000,57,3249,1915,104,4026.99
823,CHARLES STREET,6/12/2019,2175000,126,3717,2019,0,4191.0
824,KERR STREET,6/27/2019,1359000,50,1942,1997,22,3450.0
825,CHESTER STREET,5/16/2020,1330000,4,2100,1920,100,4026.0
826,E 38TH AVENUE,5/13/2020,1585000,6,2399,1968,52,3936.0
827,E 26TH AVENUE,7/17/2019,1650000,41,2034,2010,9,3630.0
828,E 31ST AVENUE,1/26/2020,1200000,21,2094,1980,40,3354.42
829,CARTIER STREET,9/30/2019,2779000,15,4122,1994,25,6875.0
830,VINE STREET,5/6/2019,1798000,47,1867,1945,74,3453.0
831,E 45TH AVENUE,12/3/2019,2270000,37,3669,2008,12,6236.79
832,E 41ST AVENUE,9/30/2019,1000000,37,1814,1946,73,3650.79
833,E 7TH AVENUE,9/9/2019,2688000,29,2750,1940,79,4026.0
834,LAUREL STREET,1/10/2020,2700000,29,3615,1994,26,6031.08
835,GRANVILLE STREET,1/16/2020,2949900,18,2491,1946,74,10846.28
836,E 60TH AVENUE,2/6/2020,1290000,13,1625,1925,95,3330.0
837,W 23RD AVENUE,5/29/2019,2000000,131,1700,1925,94,3782.0
838,E 28TH AVENUE,8/7/2019,1058000,47,2136,1955,64,3630.0
839,VICTORIA DRIVE,10/15/2019,1285000,29,2479,1972,47,3904.23
840,CHESTER STREET,9/30/2019,1350000,7,2106,1935,84,4026.0
841,W 28TH AVENUE,12/2/2019,2230000,41,301,1936,84,4290.0
842,WILLOW STREET,2/21/2020,2480000,3,2482,1911,109,2683.56
843,JOYCE STREET,3/26/2020,1351000,4,2273,1980,40,3562.0
844,MAXWELL STREET,10/15/2019,1155000,5,1128,2012,7,1300.0
845,GARDEN DRIVE,1/28/2020,2189000,32,2221,2020,0,2873.0
846,E 58TH AVENUE,12/11/2019,1530000,1,2961,1975,44,5508.0
847,CORNISH STREET,7/22/2019,2301000,79,3092,1997,22,5162.0
848,STAINSBURY AVENUE,3/18/2019,940000,113,2066,1912,107,2884.0
849,W 19TH AVENUE,8/19/2019,2188000,4,2401,1925,94,4026.0
850,OSLER STREET,1/6/2020,1557500,53,2030,1927,93,4026.0
851,FLEMING STREET,9/24/2019,1333000,36,1790,1914,105,3272.05
852,FRASERVIEW DRIVE,6/10/2019,1392000,52,2815,1979,40,4869.84
853,E 1ST AVENUE,8/20/2019,1700000,191,2050,1922,98,4026.0
854,ELGIN STREET,7/17/2019,1615000,4,2133,1980,39,3481.5
855,E 57TH AVENUE,4/30/2020,1270000,3,1572,1953,67,4075.5
856,W 14TH AVENUE,2/18/2020,2750000,4,2949,1928,92,5368.0
857,E 44TH AVENUE,7/16/2019,1452500,19,1993,1948,71,3894.4
858,E 49TH AVENUE,12/19/2019,1055000,14,1664,1945,75,3432.0
859,MCGILL STREET,9/20/2019,1090000,66,1566,1950,69,4014.0
860,E WOODSTOCK AVENUE,1/15/2020,1582000,22,2135,1994,26,4125.0
861,GALT STREET,7/5/2019,1385000,122,2541,1993,26,4026.0
862,E 17TH AVENUE,1/30/2020,1611000,11,2938,1971,49,5911.0
863,W 69TH AVENUE,1/28/2020,1629000,13,2240,1975,45,3993.0
864,E KING EDWARD AVENUE,9/30/2019,1250000,7,1823,1913,106,4570.5
865,E 2ND AVENUE,8/8/2019,2110000,5,3457,2019,0,4026.0
866,E 49TH AVENUE,7/22/2019,1725000,30,3136,1992,27,5254.5
867,CULLODEN STREET,5/27/2019,1300000,103,2388,1975,44,4035.9
868,PARKER STREET,5/23/2019,1350000,43,2324,2005,14,2542.0
869,MCGILL STREET,6/3/2019,1199000,5,1819,1947,72,4019.83
870,DUMFRIES STREET,11/26/2019,2130000,21,3452,2012,7,4158.0
871,E 44 TH AVENUE,7/22/2019,1185000,85,1224,1926,93,3816.12
872,E 48TH AVENUE,1/14/2020,1633000,7,2787,1971,49,6313.2
873,E 52ND AVENUE,7/11/2019,2360000,225,3342,1980,40,8174.0
874,ALMA STREET,11/12/2019,1615000,2,1944,1928,91,3960.0
875,E 1ST AVENUE,2/3/2020,1275000,7,2003,1952,68,4500.0
876,ST. CATHERINES STREET,11/7/2019,1588008,5,2475,1969,50,4026.0
877,W 10TH AVENUE,10/8/2019,2255000,92,3128,1928,92,6466.0
878,W 11TH AVENUE,9/16/2019,2041000,0,2399,1973,46,4027.98
879,NOOTKA STREET,9/3/2019,1155000,3,2082,1970,49,3435.0
880,W 12TH AVENUE,6/10/2019,2300000,8,2172,1928,91,4841.0
881,SLOCAN STREET,4/1/2020,1153000,6,1798,1957,63,3432.0
882,NANAIMO STREET,7/25/2019,1285000,1,2500,1961,58,5468.0
883,LILLOOET STREET,9/30/2019,1705000,7,2509,2011,8,3587.43
884,W 29TH AVENUE,11/1/2019,2000000,12,2494,1937,82,4068.9
885,YALE STREET,3/15/2019,1380000,99,1628,1944,75,4129.75
886,MACDONALD STREET,11/4/2019,1590000,24,2100,1963,56,5125.49
887,CORNISH STREET,10/15/2019,2210000,6,2971,1995,24,5115.0
888,NORMANDY DRIVE,2/18/2020,2379047,4,3887,2019,1,4510.0
889,W 20TH AVENUE,10/16/2019,2505000,89,2708,1986,34,4880.0
890,W 14TH AVENUE,10/17/2019,2850000,8,2504,1995,24,4026.0
891,GRANT STREET,10/8/2019,1500800,0,2586,1991,28,4254.5
892,HUDSON STREET,6/12/2019,2945000,21,3615,2001,18,6031.5
893,E KENT AVENUE NORTH,5/10/2020,1175000,5,1443,1994,26,2288.74
894,E 23RD AVENUE,6/3/2019,1190000,35,1972,1955,64,3960.0
895,W 64TH AVENUE,4/23/2019,1984000,75,2828,1920,99,4029.3
896,E 31ST AVENUE,10/18/2019,2335000,3,2431,2017,2,3300.0
897,DUMFRIES STREET,6/10/2019,1665000,140,2288,1998,21,4440.0
898,E 36TH AVENUE,11/26/2019,1500000,1,1951,1941,78,4806.7
899,W 29TH AVENUE,2/8/2020,2512000,16,2950,1967,53,5200.0
900,PENTICTON STREET,3/9/2020,2380000,5,2343,1977,43,3630.0
901,W 11TH AVENUE,4/20/2020,2150000,12,2192,1995,25,3663.0
902,E 60TH AVENUE,8/13/2019,1380000,37,1841,1952,67,5313.14
903,DIEPPE DRIVE,2/13/2019,1150000,212,1580,1948,71,4620.0
904,E 27TH AVENUE,2/3/2020,1375000,7,1836,1947,73,4356.0
905,W 3RD AVENUE,9/4/2019,2650000,8,3310,1912,107,3986.0
906,KASLO STREET,3/9/2020,1660000,8,2072,2005,15,3828.0
907,GALT STREET,3/23/2020,1280000,14,2381,1967,53,4026.0
908,W 11TH AVENUE,11/25/2019,2338000,1,2570,1925,94,4026.0
909,W 33RD AVENUE,8/6/2019,2438000,99,3043,2015,4,4305.0
910,E 57TH AVENUE,11/22/2019,2171428,26,3491,2019,1,4062.0
911,W 6TH AVENUE,10/6/2019,2490000,36,2502,1912,107,3400.0
912,SKEENA STREET,6/3/2019,1549000,7,2881,1930,89,3960.0
913,W 16TH AVENUE,1/2/2019,2080000,168,2114,1908,111,6250.0
914,TURNER STREET,10/29/2019,1230000,40,2101,1992,28,3498.0
915,ANGUS DRIVE,5/28/2019,2180000,18,2883,1940,79,7434.0
916,W 36TH AVENUE,10/24/2019,3000000,135,3893,1994,26,6512.0
917,W 24TH AVENUE,8/30/2019,2743000,31,2414,2008,11,4030.0
918,NANTON AVENUE,10/18/2019,3000000,4,4158,1920,99,7732.5
919,WINDSOR STREET,2/10/2020,1660000,5,2261,1988,32,3539.25
920,WEST BOULEVARD,9/16/2019,1709000,8,2188,1941,78,4800.0
921,E 52ND AVENUE,4/20/2020,1245000,1,2414,1986,34,4322.01
922,W 10TH AVENUE,11/19/2019,2680000,11,3334,1930,89,6250.0
923,W 15TH AVENUE,3/9/2020,2110000,60,2165,1915,105,4026.0
924,HEATLEY AVENUE,7/25/2019,738000,196,1153,1901,119,1525.0
925,W 35TH AVENUE,3/6/2020,2200000,9,2016,1948,72,4257.0
926,E 53RD AVENUE,6/6/2019,2680000,0,4436,2019,0,5499.36
927,E 40TH AVENUE,10/5/2019,1550000,30,1676,1944,75,4026.0
928,E 59TH AVENUE,11/18/2019,2300000,1,3664,2019,0,3996.0
929,E GEORGIA STREET,5/27/2019,1860000,100,3335,1895,124,3050.0
930,WILLIAM STREET,2/3/2020,1690000,15,2152,1927,93,3564.0
931,KASLO STREET,8/22/2019,1058000,21,1593,1934,85,3071.2
932,E 51ST AVENUE,7/29/2019,1582500,14,2525,1993,26,4160.0
933,HOY STREET,7/29/2019,1070000,95,1735,1950,69,3804.0
934,CARTIER STREET,9/10/2019,1865000,89,2347,1979,40,4026.0
935,E 61ST AVENUE,7/4/2019,935000,5,1620,1910,109,3286.0
936,E 30TH AVENUE,2/20/2020,1575000,2,1905,1910,110,1956.1
937,ALMA STREET,2/28/2020,2570000,9,3357,1929,91,6830.0
938,KELOWNA STREET,3/19/2020,1035000,17,2450,1945,75,3826.0
